Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Статусная;МАОУ "Средняя общеобразовательная школа № 127 с углубленным изучением отдельных предметов";г.Пермь, ул.Крупской, 80;281-95-66;Директор: Цейтлина Татьяна Ильинична;http://www.school127.perm.ru;56.294329;57.995948
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 129";г.Пермь, п.Н.Ляды, ул.Мира, 11;295-92-34;Директор: Чурилова Тамара Николаевна;http://www.school129.ucoz.ru;56.580909;58.050445
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 131";г.Пермь, ул.Генерала Черняховского, 72;275-75-05, 275-74-74;Директор: Оборина Ольга Геннадьевна;http://perm-school131.ucoz.ru;56.399189;58.086009
Статусная;МАОУ "Средняя общеобразовательная школа № 135 с углублённым изучением предметов образовательной области "Технология";г. Пермь, ул. Старцева, д. 9;266-69-67;Директор: Куляпин Алексей Сергеевич;http://www.school135.ru;56.234195;58.010259
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 136";г.Пермь, ул. Милиционера Власова, 37;223-94-89;Директор: Удников Александр Николаевич;http://perm.psu.ru/school136;56.170747;57.964863
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 14";г.Пермь, ул.М. Рыбалко, 101 б;252-77-82;Директор: Крохалев Владимир Дмитриевич;http://www.sc14perm.edusite.ru;55.972337;58.015742
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 140";г.Пермь, ул.Л.Толстого, 12;223-44-15;Директор: Березовская Ольга Маратовна;http://school140.perm.ru/;56.223182;57.987428
Статусная;МАОУ "Средняя общеобразовательная школа № 146 с углубленным изучением математики, физики и информатики";г.Пермь, ул.Боровая, 24а;235-29-05;Директор: Айдаров Юрий Рафаэлевич;http://s146.perm.ru;56.184016;57.997665
Статусная;МАОУ "Средняя общеобразовательная школа № 153 с углубленным изучением иностранных языков";г.Пермь, ул.Социалистическая, 6;284-32-57;Директор: Исаева Наталия Романовна;http://153school.ucoz.ru;56.381977;58.135076
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 16";г. Пермь, ул.Академика Веденеева, 71;2752615;Директор: Филипович Валентина Викторовна;http://www.moo-sch16.narod.ru;56.383585;58.106252
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 19";г.Пермь, ул.Адмирала Ушакова, 24;252-61-61, 283-52-42;Директор: Коренчук Александр Николаевич;http://school19perm.ucoz.ru/;56.027161;58.034744
Статусная;МАОУ "Средняя общеобразовательная школа № 2 с углубленным изучением предметов гуманитарного профиля";г.Пермь, ул.Советская, 33;212-32-54;Директор: Красносельских Валентина Леонидовна;http://school2.perm.ru;56.242505;58.015618
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 21";г.Пермь, ул.Сибирская, 23;212-57-40;Директор: Фролова Галина Николаевна;http://school21.permedu.ru;56.247383;58.012105
Статусная;МАОУ "Средняя общеобразовательная школа № 22 с углубленным изучением иностранных языков";г.Пермь, ул.Сибирская, 80;216-74-23;Директор: Червонных Алла Валерьевна;http://www.school22.perm.ru;56.261280;57.999692
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 24";г.Пермь, ул.Репина, 67а;285-29-68;Директор: Котельникова Ирина Николаевна;http://mouschool24.narod.ru/;56.285310;58.111426
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 25";г.Пермь, ул.Голева, 8;233-34-88;Директор: Погребицкая Екатерина Михайловна;http://school25.perm.ru;56.211468;57.997770
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 27";г.Пермь, ул.Шишкина, 18;282-92-44;Директор: Казанцева Светлана Георгиевна;http://www.school27-perm.ru;55.957981;58.007480
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 28";г.Пермь, ул.Луначарского, 4;212-51-11;Директор: Набалова Татьяна Ивановна;http://59320s004.edusite.ru;56.257111;58.012524
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 3";г. Пермь, ул. Карпинского, 86;223-10-78;Директор: Филиппов Сергей Николаевич;http://school3-perm.ru;56.208566;57.975331
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 30";г.Пермь, ул.Красноуральская, 37;267-01-40;Директор: Шляхов Юрий Михайлович;http://www.school-30.narod.ru;56.355450;58.060179
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 32";г.Пермь, ул.Советская, 102 а;237-33-06;Директор: Гликсон Александр Маркович;http://www.school32-perm.ru;56.214945;58.011375
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 34";г.Пермь, ул.Маяковского, 33;222-93-69;Директор: Щёлокова Светлана Викторовна;http://school34-perm.edusite.ru/;56.114675;58.003269
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 36";г.Пермь, ул.Лукоянова, 6;269-56-88;Директор: Колчанов Александр Леонидович;http://www.school36perm.ru;56.240160;57.957697
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 37";г.Пермь, ул.Кабельщиков, 21;274-33-87;Директор: Иванова Ольга Михайловна;http://shkola37.perm.ru/;56.292433;58.100284
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 40";г.Пермь, ул.Костычева, 33;213 - 76 - 22;Директор: Рупперт Ирина Эрнестовна;http://school40perm.ucoz.ru;56.131814;58.038403
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 41";г.Пермь, Серебрянский проезд, 9;242-60-58;Директор: Родионова Капитолина Николаевна;http://school41perm.narod.ru/;56.233171;57.976205
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 42";г.Пермь, ул.Нестерова, 18;280-96-49;Директор: Наугольных Наталия Викторовна;http://www.school42perm.ru;56.245155;57.993477
Статусная;МАОУ "Средняя общеобразовательная школа № 43 с углубленным изучением предметов художественно-эстетического цикла";г.Пермь,  Бульвар Гагарина, 75а;282-01-72;Директор: Деменева Анна Анатольевна;http://sc43.ucoz.ru;56.288750;58.000884
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 43" (дошкольные группы);г.Пермь, бул. Гагарина, 60а;263-28-26;Директор: Чегляева Людмила Кузьминична;;56.283486;58.000097
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 44";г.Пермь, пр. Парковый, 28;222-68-46;Директор: Чистякова Надежда Геннадьевна;http://www.школа44.рф;56.151407;57.996687
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 45";г.Пермь, ул.Валежная, 15;263-52-84;Директор: Вишницкая Анжелика Владимировна;http://45school.ucoz.org;56.375456;58.125881
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 48";г.Пермь, ул.Уральская, 67;260-21-24;Директор: Маланич Анжелика Петровна;http://prm-school48.jimdo.com;56.300922;58.029431
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 49";г.Пермь, ул.Лебедева, 28;265-96-33;Директор: Миллер Владимир Андреевич;http://www.sc-49.narod.ru;56.291391;58.023884
Статусная;МАОУ "Средняя общеобразовательная школа № 50 с углубленным изучением английского языка";г.Пермь, ул.Ким, 78;265-99-90;Директор: Мякина Ольга Эдуардовна;http://school50.perm.ru;56.289855;58.019146
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 52";г.Пермь, ул.Днепровская, 32;233-48-33;Директор: Баранова Светлана Николаевна;http://Schoolperm52.narod2.ru;56.283270;58.045868
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 55";г.Пермь,  ул.Вагонная, 22;213-05-27;Директор: Кычева Елена Юрьевна;http://www.shkola55perm.narod.ru/p1aa1.html;56.093142;58.050293
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 59";г.Пермь, проспект Парковый, 8а;222-62-10;Директор: Антонова Сильванера Константиновна;http://prm-sch59.edusite.ru;56.140869;57.995938
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 6";г.Пермь, ул. Екатерининская, 174;236-04-02;Директор: Соколова Галина Анатольевна;http://school6.aghost.biz/;56.218762;58.005877
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 60";г.Пермь, ул.Лодыгина, 14;269-00-60;Директор: Елисеева Ирина Анатольевна;http://школа60.рф/;56.234375;57.966100
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 61";г.Пермь, ул. Николая Островского, 46а;216-71-21;Директор: Арамилева Надежда Ивановна;http://www.school61-perm.ru;56.265205;58.008972
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 63";г.Пермь, ул.Воронежская, 8;251-76-25;Директор: Степанова Юлия Наильевна;http://sc63.my1.ru;55.841605;58.025733
